a beam of light	一束光
a blast of	一阵风
a burning desire	强烈的愿望
a cluster of	一群；一组
a column of water	水柱
a constant temperature	恒温
a crew of	一组(工作人员)
a crushing blow	毁灭性的打击
a favorite topic	爱谈论的话题
a grain of truth	一条真理
a great many	许多
a great variety of	各种各样的；大量的
a gust of wind	一阵狂风
a host of	许多；一大群
a household word	家喻户晓的(名)字
a mess of	一大堆
a rule of thumb	概测法
a series of	一系列
a set of	一套
a speck of	一点点
a strip of	一条
a suite of	一系列；一套
a variety of	各种各样；不同种类
a wealth of	大量的
accomodate to	适应
account for	解释，说明
accuse sb. of...	指控某人…
acid rain	酸雨
adapt to	适应
add to	加；增加
add up to	总共达到
adjust to	适应…
advanced composition	高级写作
air current	气流
all but	几乎；差不多
all night long	整晚
along with	一道；一起
amine acid	氨基酸
amount to	合计
an array of	大量的
and the like	等等，以及诸如此类
apart from	除…之外
appeal to sb.	吸引某人
apply to	适用于
arctic (tern)	北极(燕鸥)
arouse controversy	引起争议
arrive at	达到，作出
as a result	结果；其结果是
as a result of	其结果是
as a rule	通常，一般说来
as follows	如下
as such	就其本身而言；如所指的人(或物)那样
as the case might be	或许
as the name suggests	顾名思义
as well as	也；和
as with	与…一样
as...go	就…来说
assembly line	流水作业线
assume control of	取得对…的控制权
astronomical body	天体
at a rate of	以…速度
at a run	跑；正在跑
at all costs	不惜任何代价
at an angle	成一个角度
at any price	不惜一切代价
at best	充其量
at great length	详细地；细致地
at large	一般来说
at liberty	自由地
at maturity	(动物)成熟时期
at most	至多，不超过
at the opposite extreme	在另一个极端
at the peak of	在…高峰期
at the request of	应…的邀请
at the suggestion of	在…的建议下
at the word of command	一听到命令声
at will	任意，随意
at work	起作用
atmospheric pressure	大气压力
attach importance to	认为…有重要性
attach...to...	附在…上,把…系在…
attribute...to...	归功于
avant-garde artist	n.先锋派艺术家
await publication	待出版
at home in	熟悉，精通
baby boom	生育高峰期
back and forth	来回地
balsam fir	香脂冷杉
battle against	反对
be absorbed by	被…吸收
be accompanied by	伴随
be accustomed to	习惯于
be admitted to	加入
be analogous to	与…类比
be applied to	用于
be applied with	装配有
be assigned to	归属于
be associated with	与…联系在一起
be at a loss	茫然不知所措
be at war with	与…交战
be attributed to	归于…
be bound by	受…约束；由…联系起来
be bound to	一定；必然
be brought up	被抚养
be carpeted with	覆盖着
be cast up on	定居在
be characteristic of	具有…特色的
be closely bound up with	与…有密切联系
be combined with	使…与结合(组合)
